id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
160,CPABA Therapy,"CPABA Therapy is an ABA provider located in Chesapeake, VA for children with Autism Spectrum Disorders. They provide clinic-based and in-home ABA therapy, social learning opportunities, speech therapy, and parent training and support.",,,,,,4225 B Portsmouth Blvd,,Chesapeake,VA,23321,,http://cpabatherapy.com/,christine@cpabatherapy.com,(757) 292-4774,36.8207497,-76.4162627,,    Applied Behavior Analysis,    Speech and Communication,    Early Intervention,    Developmental Delays,,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
161,Days of Victory Center for Autism,"Days of Victory Center for Autism is an ABA provider serving Chesapeake and the broader Hampton Area, VA. They offer assessments, treatment plans, clinic-based therapy, and school consultations for children with Autism, ADD, ADHD, and related disorders.",,,,,,640 Independence Pkwy Suite 400B,,Chesapeake,VA,23320,,https://www.victoryaba.com/,info@victoryaba.com,(757) 267-9634,36.7663295,-76.2613221,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,          IEP ,,      Parent Training ,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
162,Dominion Youth Services - Norfolk,"Dominion Youth Services is an ABA provider located in Norfolk, VA for children and youth with Autism, developmental delay, ADHD, or behavior disorders. They offer in-home ABA therapy for children ages 1-14, as well as programs serving preschool and school-aged children in an educational setting.",,,,,,1130 Tabb St,,Norfolk,VA,23504,,https://dominionyouthservices.com/services/autism-services/,,(804) 921-2389,36.853011,-76.27433,,    Applied Behavior Analysis,    Medication,    Counseling,    Mental Health ,     School,,,,         Hampton Roads ,,,,,
163,Epic Developmental Services ,"Epic Developmental Services is an ABA provider located in VA, PA, MD, NJ, and TX for individuals with developmental disabilities, including Autism. They provide ABA therapy and education programs, as well as early intervention for children ages 0-5.",,,,,,7600 Leesburg Pike Suite 105 East,,Falls Church,VA,22043,,https://epicdevelopmentalservices.com/,,(304) 657-4481,38.9081173,-77.2076813,,    Applied Behavior Analysis,    Speech and Communication,    Early Intervention,    Developmental Delays,          IEP ,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
164,Family Insight - Newport News/Hampton,"Family Insight is an ABA provider located in the Hampton and Tidewater regions, VA for children with Autism Spectrum Disorders. They offer in-home and outpatient services, mental health skill building, crisis stabilization, and therapeutic mentoring.",,,,,,11835 Fishing Point Dr,#202,Newport News,VA,23606,,https://familyinsight.net/location/hamptonnewport-news-va/,peter.doyle@familyinsight.net,(757) 243-1033,37.0862326,-76.4812217,,    Applied Behavior Analysis,    Social Skills Training,    Medication,    Mental Health ,,             Residential Program,Family Supports and Parent Training,,         Hampton Roads ,,,,,
165,Family Insight - Chesterfield,"Family Insight is an ABA provider located in the Hampton and Tidewater regions, VA for children with Autism Spectrum Disorders. They offer in-home and outpatient services, mental health skill building, crisis stabilization, and therapeutic mentoring.",,,,,,2820 Waterford Lake Dr,#102,Midlothian,VA,23112,,https://familyinsight.net/locations/,peter.doyle@familyinsight.net,(804) 658-4509,37.4538678,-77.6499435,,    Applied Behavior Analysis,    Social Skills Training,    Medication,    Mental Health ,,             Residential Program,Family Supports and Parent Training,,         Hampton Roads ,,,,,
166,Family Priority - Williamsburg,"Family Priority is an ABA provider located in Williamsburg, VA for children with Autism Spectrum Disorders and other intellectual disabilities. They provide in-home therapy focusing on language skills, behavior reduction, and social skills training. They also offer family, parenting, and individual counseling.",,,,,,111 Bulifants Blvd b,,Williamsburg,VA,23188,,https://familypriority.com/,,(757) 645-3860,37.33515,-76.734674,,    Applied Behavior Analysis,    Counseling,    Social Skills Training,    Mental Health ,,,Family Supports and Parent Training,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
167,Mea’Alofa Autism Support Center,"Mea’Alofa Autism Support Center is an ABA provider serving the Hampton Roads area, VA for children with Autism Spectrum Disorders. They provide ABA therapy, social skill groups, clinical consultations, Education Program Development plans, and school observations as well as parent training and support.",,,,,,4016 Raintree Road,Suite 200A,Chesapeake,VA,23321,,http://learnwithmasc.org/,,(757) 465-3933,36.8288228,-76.4080025,,    Applied Behavior Analysis,    Social Skills Training,,,          IEP ,,Family Supports and Parent Training,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
168,One Child Center for Autism,"One Child Center for Autism is an ABA provider located in Williamsburg, VA for individuals with Autism Spectrum Disorders and other developmental disabilities. They offer ABA therapy focusing on learning appropriate behaviors, social skills, motor skills, and self-help skills. They also provide occupational and speech/social therapy.   ",,,,,,201 Bulifants Blvd,,Williamsburg,VA,23188,,https://onechildcenterforautism.org/,,(757) 585-3216,37.334656,-76.7341481,,    Applied Behavior Analysis,    Occupational Therapy ,    Speech and Communication,,,,      Support Groups,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
169,"Progressive ABA, Inc.","Progressive ABA, Inc. is an ABA provider located in Williamsburg, VA for children with Autism Spectrum Disorders. They provide structured and diverse treatment, social skill groups, speech therapy, occupational therapy, and sensory integration.",,,,,,356 McLaws Cir Suite 2,,Williamsburg,VA,23185,,http://progressive-aba.org/?page_id=1294,contact@progressive-aba.org,(757) 846-6959,37.2456046,-76.6642731,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
170,Youth and Family Services - Chesapeake,"Youth and Family Services of Virginia, located in Chesapeake, VA, provides an ASSET program that uses ABA (Applied Behavior Analysis) to increase the adaptive functioning, behavioral skills, social skills and communication skills. It also has early intervention centers and parent training services.",,,,,,638 Independence Parkway,,Chesapeake,VA,23320,Norfolk,https://www.asset.yfsva.com/,,(757) 276-9800,36.7660195,-76.2624494,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
171,Youth and Family Services - Tappahannock,"Youth and Family Services of Virginia, located in Tappahannock, VA, provides an ASSET program that uses ABA (Applied Behavior Analysis) to increase the adaptive functioning, behavioral skills, social skills and communication skills. It also has early intervention centers and parent training services. ",,,Youth and Family Services,,,202 Queen St,,Tappahannock,VA,22560,Essex ,https://www.asset.yfsva.com/,,(804) 887-2990,37.9296087,-76.859101,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
172,Autism Society - Tidewater Virginia ,"Autism Society, Tidewater Virginia (formerly known as TASA) is an organization in the Tidewater, Virginia Region and beyond to include the Peninsula. Autism Society, Tidewater Virginia was established to help improve the lives of all affected by autism and does this by increasing public awareness, advocating for appropriate services for individuals across the lifespan, and providing the latest information on treatment,education, research and advocacy. ",,,,,,4605 Pembroke Lake Circle,Unit 202,Virginia Beach,VA,23455,,https://www.tidewaterasa.org,nicole.miller@tidewaterasa.org,(757) 461-4474,36.8611357,-76.1341602,,Treatment and Therapies ,,,,,,,      Advocacy,         Hampton Roads ,,,,,
173,Therapeutic Alliance of Virginia - Hampton Roads,"Therapeutic Alliance of Virginia is a private mental health agency located in Virginia Beach, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,780 Lynnhaven Parkway,Suite 370,Virginia Beach,VA,23452,,http://www.therapeuticalliancellc.com/,director@taculture.com,(757) 301-9065,36.8154152,-76.065933,,    Counseling,,,    Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
174,ABC’s of Applied Behavior Analysis,"ABC's of Applied Behavior Analysis is located in Salem, Virginia and serves those who are ages 2 to 21. Services are provided to children and their families in naturalistic environments, with the main focus being ABA therapy and early intervention. ",,,,,,1630 Braeburn Drive,,Salem,VA,24153,,http://www.abcsofaba.com/,abcsofaba@gmail.com,(540) 588-9582,37.2650837,-80.0352327,,    Applied Behavior Analysis,    Early Intervention,,,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
176,Centra Autism In-Home Services - Roanoke,"The Centra Autism and Development Center offers in-home ABA (Applied Behavior Analysis) Therapy. Centra's in-home services provide ABA therapy in conjunction with person-centered treatment to reduce maladaptive behaviors and teach adaptive communication and social skills, for clients up to age 21. ",,,,,,,In-home Therapy,Roanoke,VA,24019,,https://www.centrahealth.com/services/home-services,crystal.collette@centrahealth.com,(434) 215-4133,37.3490124,-79.9528451,Assessment and Diagnosis,    Applied Behavior Analysis,,,,,,,,         Roanoke/New River Valley,,,,,
177,Compass Counseling - Roanoke,"The Compass in Roanoke provides a home-based Applied Behavior Analysis (ABA) therapy program for children and adolescents under age 21 with impairment in adaptive functioning which is not a diagnosis-specific program. Compass also provides comprehensive psychological testing, school-based services, parent support services, and other counseling services.  ",,,,,,"206 Wells Avenue, NW",,Roanoke,VA,24016,,https://compassva.com/location/roanoke-valley/,,(540) 215-0535,37.2755787,-79.9440373,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,,,,,      Support Groups,,         Roanoke/New River Valley,,,,,
178,Family Insight - Roanoke,"Family Insight is an ABA provider located in Roanoke regions, VA for children with Autism Spectrum Disorders. They offer in-home and outpatient services, mental health skill building, crisis stabilization, and therapeutic mentoring.",,,,,,3433 Brambleton Ave,Suite 201-A,Roanoke,VA,24018,,https://familyinsight.net/location/roanoke-va/,peter.doyle@familyinsight.net,(540) 283-0013,37.2384864,-79.9996439,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Roanoke/New River Valley,,,,,
179,Virginia Autism and Behavior Consulting (VA-ABC),"Virginia Autism and Behavior Consulting (VA-ABC) is an ABA provider in Roanoke, VA for children with Autism Spectrum Disorders. They provide assessments and evaluations, early intervention preschool, ABA therapy in various settings, social skills, and parent training. They even offer a Private Day School for children between preschool and 5th grade. ",,,Blue Ridge Autism and Achievement Center (BRAAC),,,3243 Electric Road Building E Suite 1,,Roanoke,VA,24018,Roanoke,https://va-abc.com/,,(540) 404-1189,37.2284904,-80.0073987,Assessment and Diagnosis,    Applied Behavior Analysis,    Occupational Therapy ,    Early Intervention,,     School,,      Parent Training ,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
180,Minnick School - Roanoke Campus,"The Minnick School in Roanoke, Virginia, offers social skills groups and behavioral support groups for students with autism and emotional and learning disabilities. The classrooms in the Minnick Schools have a model classroom for students with autism. A Board Certified Behavior Analyst (BCBA) provides consultation, training, intervention, and support to the student and teachers throughout the day.  ",,,,Ashley Wittl,,"775 Dent Rd, NW",,Roanoke,VA,24019,,http://lfsva.org/educational-services-minnick-schools/locations-school-calendars/,info@lfsva.org,(540) 265-4281,37.338458,-79.967422,,    Applied Behavior Analysis,,,,     School,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
181,Minnick School - Vocational Campus (Starkey Station),"The Starkey Station is a branch of the Minnick School in Roanoke, Virginia, that offers social skills groups and behavioral support groups for students with autism and emotional and learning disabilities. The classrooms in the Minnick Schools have a model classroom for students with autism. A Board Certified Behavior Analyst (BCBA) provides consultation, training, intervention, and support to the student and teachers throughout the day. Starkey Station is a year round school. ",,,,Kim Irvin,,6405 Merriman Road,"Suites 103, 104, 105",Roanoke,VA,24018,,http://lfsva.org/educational-services-minnick-schools/locations-school-calendars/,wraines@lfsva.org,"(540) 206-3270, ext 3401",37.2023027,-80.0001691,,    Applied Behavior Analysis,,,,     School,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
182,Therapeutic Alliance of Virginia - Roanoke,"Therapeutic Alliance of Virginia is a private mental health agency located in Roanoke, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,103 Kirk Avenue SE,Suite D,Roanoke,VA,24011,,http://www.therapeuticalliancellc.com/,director@taculture.com,(540) 266-7903,37.2710013,-79.9389142,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
183,"Comprehensive Autism Partnership - Chesapeake, Norfolk","Comprehensive Autism Partnership is an ABA provider located in Chesapeake and Norfolk, VA for children with autism and special needs. They provide social skills and other assessments, Natural Environment Teaching (NET), and parent/family/caregiver training.",,,,,,,In-home Therapy,Chesapeake,VA,,,http://cap-autism.com/,,(757) 655-7274,,,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
184,Building Blocks Center for children with Autism,Building Blocks Center for Children with Autism is a private school for children ages 2 to 14 with a diagnosis of Autism Spectrum Disorder. Children are taught using an IEP and ABA therapy is provided.,,,,,,175 Deer Run Road,,Danville ,VA,24540,,https://centerforpediatrictherapies.com/building-blocks/,,(434) 797-5530,36.6132382,-79.4092285,,    Applied Behavior Analysis,    Early Intervention,,,     School,,,,         Southside Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
185,Family Insight - Danville,"Family Insight offers community-based counseling services in the central southern Virginia. Along with Licensed Mental Health Professionals who provide mental health services, a staff of board-certified registered behavior technicians supervised by BCBAs, and BCaBAs provide ABA (Applied Behavior Analysis ) Therapy for children with autism.",,,,,,1045 Main Street,Suite 2,Danville,VA,24541,,https://familyinsight.net/location/danville-va/,,(434) 835-4765,36.5796578,-79.4020521,,    Applied Behavior Analysis,    Counseling,,,,,,,         Southside Virginia,,,,,
186,Rivermont School Chase City,"Rivermont School in Chase City provides a therapeutic educational program for students, ages 5-22, with special needs, including autism, who have difficulty learning and managing behaviors.",,,,,,633 North Main Street,,Chase City,VA,23924,,https://www.centrahealth.com/facilities/rivermont-school-chase-city,,(434) 372-3303,36.8031722,-78.4594312,,    Applied Behavior Analysis,    Speech and Communication,    Counseling,    Mental Health ,     School,,,,         Southside Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
187,Rivermont School Dan River,"Rivermont School in the Dan River Region provides a therapeutic educational program for students, ages 5-22, with special needs, including autism, who have difficulty learning and managing behaviors.",,,,,,441 Piney Forest Road,Suite O ,Danville ,VA,24540,,https://www.centrahealth.com/facilities/rivermont-school-chase-city,,(434) 836-7025,36.6055754,-79.4119668,,    Applied Behavior Analysis,    Speech and Communication,    Counseling,    Mental Health ,     School,,,,         Southside Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
188,The Hughes Center,The Hughes Center is a residential facility that provides individuals with an ASD or Intellectual Disability diagnosis who experience social and behavioral difficulties. The Hughes Center also provides a day school for students with disabilities in grades 4 through 12. ,,,,,,1601 Franklin Turnpike,,Danville,VA,24540,,https://thehughescenter.com,,(434) 836-8500,36.644956,-79.404537,,    Applied Behavior Analysis,          Cognitive Behavioral Therapy ,          Dialectical Behavior Therapy,    Mental Health ,     School,             Residential Program,,,         Southside Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
189,Southside Community Services Board,"At Southside Community Services, therapists, nurses, and psychiatrists perform comprehensive assessments and evaluations. Individual and group therapy sessions are provided in outpatient services, as well as monitoring and prescribing medications. Clients may be assigned to a service coordinator upon request. Southside Community Services Board is a service for all ages. ",,,,,,143 Industrial Parkway,PO Box 1478,Clarksville ,VA,23927,,https://www.sscsb.org,sscsb@sscsb.org,(434) 572-6916,36.6004488,-78.5655947,,    Applied Behavior Analysis,,,    Mental Health ,     School,             Residential Program,Family Supports and Parent Training,,         Southside Virginia,,,,,
190,Halifax Behavioral Health Center,"Halifax Behavioral Health Center is a branch of Southside Community Services located in South Boston, VA. Therapists, nurses, and psychiatrists perform comprehensive assessments and evaluations on the individuals. Individual and group therapy sessions are provided in outpatient services, as well as monitoring and prescribing medications. Clients may be assigned to a service coordinator upon request. Halifax Behavioral Health Center is a service for all ages. ",,,,,,424 Hamilton Blvd. ,PO Box 488,South Boston,VA,24592,,http://www.sscsb.org/services-provided/services-by-county/halifax-county,,(434) 572-2936,36.7136367,-78.9158733,,    Applied Behavior Analysis,,,    Mental Health ,,             Residential Program,Family Supports and Parent Training,,         Southside Virginia,,,,,
191,Pulaski Parent Resource Center,Pulaski Parent Resource Center provides training that will facilitate special education process by providing resources that will help support individual and family needs and provide parent support groups. ,,,,Jackie Fagan,,202 North Washington Ave.,,Pulaski,VA,24301,,http://www.pcva.us/sped.html,,(540) 994-2559,37.0479558,-80.7796746,,,,,,     In School Supports,,      Support Groups,,         Southwest Virginia ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
192,Minnick School - Wise Campus,"The Minnick School in Wise, Virginia, offers social skills groups and behavioral support groups for students with autism and emotional and learning disabilities. The classrooms in the Minnick Schools have a model classroom for students with autism. A Board Certified Behavior Analyst (BCBA) provides consultation, training, intervention, and support to the student and teachers throughout the day.",,,,,,515 Hurricane Rd,Building N,Wise ,VA,24293,,https://lfsva.org/educational-services-minnick-schools/locations-school-calendars/,,(276) 328-7181,36.9800615,-82.569771,,    Applied Behavior Analysis,,,,     School,,,,         Southwest Virginia ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
193,Minnick School - Wytheville Campus,"The Minnick School in Wytheville, Virginia, offers social skills groups and behavioral support groups for students with autism and emotional and learning disabilities. The classrooms in the Minnick Schools have a model classroom for students with autism. A Board Certified Behavior Analyst (BCBA) provides consultation, training, intervention, and support to the student and teachers throughout the day.",,,,,,425 Grayson Road,Building Six,Wytheville,VA,24382,,https://lfsva.org/educational-services-minnick-schools/locations-school-calendars/,,(276) 228-8088,36.9344297,-81.0983542,,    Applied Behavior Analysis,,,,     School,,,,         Southwest Virginia ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
194,Family Preservation - Abingdon,"Family Preservation is an ABA provider in Abingdon, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,,,,661 E. Main St,,Abingdon,VA,24210,,https://fpscorp.com/abingdon-office/,info@fpscorp.com,(276) 623-9245,36.7178793,-81.9548667,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,Family Supports and Parent Training,,         Southwest Virginia ,,,,,
195,Family Preservation - Marion,"Family Preservation is an ABA provider in Marion, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,,,,709 North Main Street,,Marion ,VA,24353,,https://fpscorp.com,info@fpscorp.com,(276) 781-7265,36.8394966,-81.5098513,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,Family Supports and Parent Training,,         Southwest Virginia ,,,,,
196,Family Preservation - Cedar Bluff / Pounding Mill,"Family Preservation is an ABA provider in Cedar Bluff, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,,,,220 Clay Drive,,Pounding Mill,VA,24637,,https://fpscorp.com/tazewell-office/,info@fpscorp.com,(276) 963-3606,37.0633021,-81.7396671,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,Family Supports and Parent Training,,         Southwest Virginia ,,,,,
197,Family Preservation - Dickenson County,"Family Preservation is an ABA provider in Dickenson County, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,,,,5123 Dickenson Hwy,PO Box 984,Clintonwood,VA,24288,,https://fpscorp.com,info@fpscorp.com,(276) 926-4031,37.1496871,-82.4686794,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,Family Supports and Parent Training,,         Southwest Virginia ,,,,,
198,Family Preservation - Wytheville,"Family Preservation is an ABA provider in Wytheville, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,,,,106 Calhoun St,,Galax,VA,24333,,https://fpscorp.com/galax-page/,info@fpscorp.com,(276) 238-8885,36.6603153,-80.9247268,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,Family Supports and Parent Training,,         Southwest Virginia ,,,,,
200,Children's Hospital of the King's Daughters,"Children's Hospital of the King's Daughters provides consultations for evaluations and diagnoses for children with developmental disabilities, including autism. The also offer occupational therapy, speech therapy, and physical therapy.",,,,,CRAAG,601 Children's Lane,,Norfolk,VA,23507,,https://www.chkd.org/,,(757) 668-9920,36.8621682,-76.3020325,Assessment and Diagnosis,    Occupational Therapy ,    Speech and Communication,    Physical Therapy,Physical and Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
201,CHKD Health Center at Butler Farm,"Children's Hospital of the King's Daughters Health Center provides consultations for evaluations and diagnoses for children with developmental disabilities, including autism. The also offer occupational therapy, speech therapy, and physical therapy.",,,,,CRAAG,421 Butler Farm Road,,Hampton,VA,23666,,https://www.chkd.org/locations/health-centers/health-center-at-butler-farm/,,(757) 668-4500,37.0618676,-76.4068289,Assessment and Diagnosis,    Occupational Therapy ,    Speech and Communication,,Physical and Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
202,CHKD Health Center at Harbour View North,"Children's Hospital of the King's Daughters Health Center provides consultations for evaluations and diagnoses for children with developmental disabilities, including autism. The also offer occupational therapy, speech therapy, and physical therapy.",,,,,CRAAG,7021 Harbour View Blvd,,Suffolk,VA,23435,,https://www.chkd.org/Patients-and-Families/Health-Library/Content.aspx?contentTypeId=90&contentId=P02556,,(757) 668-4570,36.8945024,-76.4357954,Assessment and Diagnosis,    Occupational Therapy ,    Speech and Communication,,Physical and Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
203,CHKD Children's Medical Tower,"Children's Hospital of the King's Daughters Medical Tower provides consultations for evaluations and diagnoses for children with developmental disabilities, including autism. The also offer occupational therapy, speech therapy, and physical therapy.",,,,,CRAAG,400 Gresham Drive,,Norfolk,VA,23507,,https://www.chkd.org/Services/DevPeds,,(757) 668-7083,36.8609119,-76.304668,Assessment and Diagnosis,    Occupational Therapy ,    Speech and Communication,,Physical and Mental Health ,,,,,         Hampton Roads ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
204,"Children’s Hospital, Fairfax - Children’s National Medical Center","The Children’s Hospital at Children’s National Medical Center in Fairfax, VA offers assessments and diagnosis for children ages 0-4 with or at risk for neurodevelopmental delays or disorders. They also provide parent training and support, occupational therapy, counseling, and speech therapy.",,,,,CRAAG,"8501 Arlington Blvd. 2nd Floor,",,Fairfax,VA,22031,,https://childrensnational.org/visit/locations-and-directions/outpatient-centers/northern-virginia-outpatient-center,,(202) 476-5405,38.8648876,-77.2386082,     Pediatrics ,    Counseling,    Occupational Therapy ,    Speech and Communication,Physical and Mental Health ,,,Family Supports and Parent Training,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),,,
205,Children’s Hospital of Richmond at VCU,"Children’s Hospital of Richmond at VCU provides comprehensive assessments and diagnosis using medical, psychological, social work, and educational testing.",,,,,CRAAG,2924 Brook Road,,Richmond,VA,23220,,https://www.chrichmond.org/Services/Developmental-Pediatrics.htm,,(888) 628-4240,37.5707689,-77.4508099,     Pediatrics ,,,,Physical and Mental Health ,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
206,CA (formerly Commonwealth Autism) Information and Resource Assistance,CA (formerly Commonwealth Autism) Information and Resource Assistance is a statewide database of resources and information for individuals with autism and their families.,,,,,CRAAG,4108 Parham Rd. ,,Richmond,VA,23228,,https://cahumanservices.org/establishing-change/information-resource-assistance/,,(804) 355-0300,37.6316841,-77.511711,,Treatment and Therapies ,,,,Education and Technology ,Adulthood and Transition,,      Advocacy,    Virginia,,,,,
207,CA (formerly Commonwealth Autism) Transdisciplinary Diagnostic & Assessment Clinic,"CA (formerly Commonwealth Autism) Transdisciplinary Diagnostic & Assessment Clinic offers transdisciplinary comprehensive diagnostic assessment for children 18 months to 7 years old for whom a diagnosis of autism or another pervasive developmental disorder is suspected. They offer Applied Behavior Analysis including speech therapy and social skills training, and residential programs. They also offer resources and information for individuals with autism and their families. ",,,,,CRAAG,"3900 W. Broad Street, Building 6,",,Richmond,VA,23230,,https://cahumanservices.org/innovating-change/children-adult-programs/,,(804) 355-0300,37.570757,-77.479339,Assessment and Diagnosis,    Applied Behavior Analysis,    Social Skills Training,    Speech and Communication,Physical and Mental Health ,,             Residential Program,,,         Richmond ,,,,,
208,Curry Autism Spectrum Services (CASS) in Charlottesville,"Curry Autism Spectrum Services (CASS) located in Charlottesville includes the Autism Assessment Clinic which provides psychological and psychoeducational evaluations for adults, adolescents, and children ages 7 or older. Also, the CARE Clinic (Collaborative Autism Resources and Evaluation) offers comprehensive interdisciplinary autism evaluations, social skills training, and parent training. Referrals to this clinic are made directly from UVA developmental behavioral pediatrics.",,,,,CRAAG,417 Emmet Street South,,Charlottesville ,VA,22903,,https://curry.virginia.edu/services-outreach/sheila-c-johnson-center/curry-autism-spectrum-services-cass,,(434) 924-7034,38.0346552,-78.5089628,     Psychological Testing ,    Social Skills Training,    Early Intervention,,Physical and Mental Health ,,,      Parent Training ,,         Charlottesville ,,School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
209,Early Intervention: Infant and Toddler Connection of the Blue Ridge,"Early Intervention: Infant and Toddler Connection of the Blue Ridge provides early intervention support, speech therapy, and occupational therapy to young children who are not developing as expected or who have a medical condition that can delay normal development. ",,,,Susan Shaw,CRAAG,500 Old Lynchburg Rd.,,Charlottesville ,VA,22903,,http://regionten.org/service/infant-toddler-connection-of-the-blue-ridge/,susan.shaw@regionten.org,(434) 970-1391,38.007559,-78.520124,,    Early Intervention,    Occupational Therapy ,    Speech and Communication,    Developmental Delays,,,,,         Charlottesville ,Pre-K (0 - 5 years),,,,
210,Eastern VA Medical School Autism Spectrum Program,"Eastern VA Medical School Autism Spectrum Program provides initial evaluation, ADOS testing (Autism Diagnostic Observation Scale), neuropsychological testing, art therapy assessment, medication management, counseling, and resource referrals for Older Adolescents (14+) and Young Adults in Norfolk, VA.",,,,EVMS Dept. of Psychiatry and Behavioral Sciences,CRAAG,P.O. Box 1980,,Norfolk,VA,23501-1980,,https://www.evms.edu/patient_care/specialties/psychiatry_and_behavioral_sciences/services/autism_spectrum_disorders_program_/,,(757) 446-5888,36.860402,-76.3036051,Assessment and Diagnosis,    Medication,    Counseling,,    Mental Health ,,,,,         Hampton Roads ,,,,,
